
id,question,answer1,answer2,answer3,answer4,answer5,answer6,coanswer,serie,difficulty,created_at
15,Quel est le nom du chat que l'équipe 7 était chargée d'attraper lors de sa première mission ?,Sora,Tora,Numa,Neko,Koka,Yu,2,Naruto,veryhard,2025-10-30 16:46:43.115066+00
16,Quels sont les 5 villages les plus puissants ?,Iwa Kumo Kiri Suna Konoha,Konoha Suna Ame Iwa Kumo,Kumo Iwa Konoha Taki Suna,Taki Suna Konoha Ame Kiri,Suna Kumo Ame Taki Konoha,Oto Konoha Kumo Suna Kiri,1,Naruto,medium,2025-10-30 16:46:43.115066+00
17,De quelle couleur sont les yeux de Kakuzu ?,Noir,Blanc,Rouge,Vert,Jaune,Rose,4,Naruto,hard,2025-10-30 16:46:43.115066+00
18,A quelle équipe appartient Shikamaru ?,Team 8,Team 9,Team 10,Team 6,Team 11,Team 5,3,Naruto,medium,2025-10-30 16:46:43.115066+00
19,Quel membre de l'Akatsuki à capturé Roshi ?,Itachi,Kisame,Deidara,Konan,Sasori,Kakuzu,2,Naruto,medium,2025-10-30 16:46:43.115066+00
20,Dans quelle prison est amené Riku lors de sa première incarcération,L'île du paradis,Le dôme de l'enfer,Le purgatoire des âmes,La forteresse du désespoir,Le gouffre éternel,Le labyrinthe des oubliés,1,One Piece,hard,2025-10-30 16:46:43.115066+00
21,Comment était surnommée Nico Robin au sein de Baroque Works ?,Miss All Sunday,Miss Wednesday,Miss Black Monday,Miss Saturday,Miss 0,Miss Poneglyph,1,One Piece,medium,2025-10-30 16:46:43.115066+00
23,Quel sabre zoro a t-il recu de Kuina ?,Yubashiri,Emma,Sandai Kitetsu,Nidai Kitetsu,Shisui,Wado Ichimonji,6,One Piece,medium,2025-10-30 16:46:43.115066+00
24,Comment s'appellent les membres de l'équipage de Usopp ?,Oignon piment et carotte,Piment tomate et oignon,Tomate salade et tomate,Salade tomate et oignon,Jambon oignon et Oignon,Fromage tomate et salade,1,One Piece,hard,2025-10-30 16:46:43.115066+00
25,De combien de berry nami avait t-elle besoin pour libérer son village d'Arlong ?,300 000 000,100 000 000,150 000 000,200 000 000,250 000 000,50 000 000,2,One Piece,medium,2025-10-30 16:46:43.115066+00
26,Quel membre Shanks a t-il perdu en protégeant Luffy ?,Son bras droit,Son bras gauche,Sa jambre droite,Sa jambre gauche,Son oeil droit,Son oeil gauche,2,One Piece,veryeasy,2025-10-30 16:46:43.115066+00
27,Pour quelle raison Zoro et Luffy se battent-ils à Whiskey Peak ?,Parce que Zoro à mangé la nourriture de Luffy,Parce qu'ils sont manipulés,Parce que Zoro à blessé ceux qui les ont nourris,Pour tester leur capacité,Pour passer le temps,Parce qu'ils ont les yeux bandés,3,One Piece,medium,2025-10-30 16:46:43.115066+00
28,Qui possède le Pika Pika no mi ?,Kizaru,Pica,Ener,Foxy,Jozu,Gild Tesoro,1,One Piece,easy,2025-10-30 16:46:43.115066+00
29,"Sur Little Garden, avec quel mugiwara Crocodile parle t-il par escargophone ?",Sanji,Zoro,Usopp,Nami,Chopper,Robin,1,One Piece,hard,2025-10-30 16:46:43.115066+00
30,Quel est le montant de la première prime de Nami ?,16 millions de berrys,32 millions de berrys,12 millions de berrys,8 millions de berrys,10 millions de berrys,6 millions de berrys,1,One Piece,medium,2025-10-30 16:46:43.115066+00
31,"Lors du Davy back fight, quel mugiwara Foxy choisit-il pour rejoindre son équipage ?",Chopper,Robin,Usopp,Zoro,Sanji,Nami,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
32,Pour quelle raison Norland a t-il été exécuté ?,Pour vol d'une grosse quantité d'or,Pour endommagement de la cloche d'or de Shandora,Pour meurtre du roi des shandias,Pour mensonge à propos d'une cité d'or,Pour avoir enfreint le code des marins,Pour s'être marié à une indigène,4,One Piece,hard,2025-10-30 16:46:43.115066+00
33,Quelle information contient le ponéglyphe de Skypiea ?,L'emplacement de Pluton,L'emplacement de Poséidon,L'emplacement de Uranus,Des informations sur le siècle oublié,Des informations sur la vie du roi des pirates,L'emplacement de Laugh Tale,2,One Piece,veryhard,2025-10-30 16:46:43.115066+00
34,Où Luffy rencontre t-il Barbe noire pour la première fois ?,Mocktown,Loguetown,Impel Down,Marineford,Skypiea,Alabasta,1,One Piece,medium,2025-10-30 16:46:43.115066+00
35,Quel est le surnom de Zeff ?,Zeff a la jambe rouge,Zeff aux pieds rouges,Zeff aux jambes rouges,Zeff a la jambe jaune,Zeff aux couteaux d'argent,Zeff aux mains d'argent,2,One Piece,medium,2025-10-30 16:46:43.115066+00
36,Où se trouve l'arbre de la Cognition ?,Ohara,History Land,Marineford,Skypiea,Jaya,Zou,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
37,Quel type d'oiseau à permis aux mugiwara de trouver l'emplacement du Knock up stream pour se rendre à Skypiea ?,South Bird,North Bird,East Bird,West Bird,Knock Bird,Gold Bird,1,One Piece,extreme,2025-10-30 16:46:43.115066+00
38,Quel dial Wiper utilise t-il systématiquement sur Ener ?,Reject Dial,Impact Dial,Jet Dial,Stone Dial,Flash Dial,Heat Dial,1,One Piece,hard,2025-10-30 16:46:43.115066+00
39,Quelle est la première personne à s'être échappé d'impel down ?,Shiki,Roger,Barbe Blanche,Shanks,Luffy,Rocks,1,One Piece,medium,2025-10-30 16:46:43.115066+00
40,Pourquoi Kuro s'est-il fait passer pour un majordome ?,Pour finir par toucher l'héritage de Kaya,Pour se rapprocher de Kaya et l'épouser,Pour respecter la volonté de son prédécesseur,Parce qu'il est recherché par un groupe de mercenaire,Parce qu'il à perdu la mémoire,Parce qu'il adore les majordomes,1,One Piece,easy,2025-10-30 16:46:43.115066+00
41,Quelles sont les paroles de Sabo prononcées à Dragon lors de leur première rencontre ?,JE VEUX VIVRE,J'AI HONTE D'ÊTRE UN NOBLE,JE VEUX MOURIR,JE VEUX SAUVER MES PARENTS,JE VEUX PRENDRE LA MER,JE VEUX DEVENIR PLUS FORT,2,One Piece,veryhard,2025-10-30 16:46:43.115066+00
42,Pourquoi les mugiwaras se rendent-ils au royaume de Drum ?,Pour trouver un nouveau compagnon,Pour soigner Nami,Parce qu'ils sont en manque de nourriture,Parce que leur log pose est cassé,Pour acheter des vêtements chauds,Pour retrouver Zoro qui s'est perdu,2,One Piece,easy,2025-10-30 16:46:43.115066+00
43,Quel âge a Kureha ?,Entre 150 et 200,Plus de 200,Entre 100 et 150,Entre 50 et 100,Entre 500 et 1000,Entre 300 et 350,3,One Piece,veryhard,2025-10-30 16:46:43.115066+00
44,Qui possède actuellement le fruit de l'invisibilité ?,Absalom,Shiryu,Doc Q,Catarina Devon,Hiluluk,Helmeppo,2,One Piece,medium,2025-10-30 16:46:43.115066+00
45,Qui a vaincu Kumadori du CP9 ?,Franky,Chopper,Nami,Sanji,Robin,Usopp,2,One Piece,medium,2025-10-30 16:46:43.115066+00
46,Quelle est la première créature que les Mugiwaras rencontrent à Thriller Bark ?,Un cyclope,Un cerbère,Un griffon,Un centaure,Un dragon,Un sphinx,2,One Piece,easy,2025-10-30 16:46:43.115066+00
47,A combien de mètres de profondeur se situe l'île des hommes poissons ?,10 000 m,50 000 m,100 000 m,30 000 m,300 000 m,20 000 m,1,One Piece,hard,2025-10-30 16:46:43.115066+00
48,"Parmi ces noms, lequel n'est pas le véritable nom d'un personnage ?",Franky,Nami,Kyros,Cavendish,Tashigi,Katakuri,1,One Piece,hard,2025-10-30 16:46:43.115066+00
49,Qui est le commandant de la 3eme divison dans l'équipage de Barbe Blanche ?,Marco,Jozu,Ace,Vista,Izo,Thatch,2,One Piece,easy,2025-10-30 16:46:43.115066+00
50,Quel est le rêve le Franky ?,Parcourir le monde à bord de son bateau,Devenir le roi des charpentiers,Créer une île flottante,Avoir un vaisseau de guerre personnel,Trouver l'arbre d'Adam,Rencontrer le Dr Vegapunk,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
51,Quelle était la seule facon de sauver Fisher Tiger de la mort ?,Lui faire manger un fruit du démon,Lui donner une transfusion de sang humain,L'emmener dans un hôpital à Saboady,Que sa fille soit présente auprès de lui,L'exposer à la lumière de la lune,L'enfermer dans une bulle d'oxygène,2,One Piece,hard,2025-10-30 16:46:43.115066+00
52,Que signifie la marque sur le dos de Hancock ?,Un tatouage familiale,Un symbole esclavagiste,Un motif dédié à son amour pour Luffy,Une symbole de pouvoir,Une bénédiction des dieux,Un motif signifiant la liberté féminine,2,One Piece,medium,2025-10-30 16:46:43.115066+00
53,Quelle la particularité d'un Eternal pose ?,Il pointe vers Raftel,Il se réinitialise après chaque destination,Il pointe toujours vers la même île,Il pointe vers l'île la plus proche,Il pointe vers les îles célestes,Il se réinitialise tous les 6 mois,3,One Piece,hard,2025-10-30 16:46:43.115066+00
54,Quel est le nom de la drogue utilisé par Caesar sur les enfants de Punk Hazard ?,A7HC2,NHC10,C8QH3,KH5D0,XJ123,ZCES4,2,One Piece,extreme,2025-10-30 16:46:43.115066+00
55,"A Punk Hazard, qui s'est retrouvé dans le corps de Franky à cause de Law ?",Nami,Usopp,Smoker,Sanji,Chopper,Robin,1,One Piece,hard,2025-10-30 16:46:43.115066+00
56,Quel mugiwara a déjà parlé à Oden ?,Franky,Robin,Brook,Jinbe,Chopper,Zoro,1,One Piece,medium,2025-10-30 16:46:43.115066+00
57,Qui a dit à Luffy que Shanks faisait partie de l'équipage de Roger ?,Rayleigh,Robin,Baggy,Garp,Barbe Noire,Sengoku,1,One Piece,medium,2025-10-30 16:46:43.115066+00
58,Quelles sont les chances d'obtenir des pouvoirs après avoir mangé un SMILE ?,1%,5%,10%,99%,50%,90%,3,One Piece,extreme,2025-10-30 16:46:43.115066+00
59,Quel Tobiroppo était en fait un membre du CP9 ?,X Drake,Who's Who,Page One,Sasaki,Black Maria,Ulti,2,One Piece,medium,2025-10-30 16:46:43.115066+00
60,Qui ne faisait pas partie de l'équipe scientifique MADS ?,Sentomaru,Caesar,Judge,Queen,Vegapunk,Stussy,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
61,Comment s'appelle l'épée de Big mom ?,Zeus,Hera,Prometheus,Napoleon,Athena,Hades,4,One Piece,hard,2025-10-30 16:46:43.115066+00
62,De quel pays sont originaires les ponéglyphes ?,Du pays des Wa,De l'île des hommes poissons,De Zou,D'Erbaf,De Skypiea,De Jaya,1,One Piece,hard,2025-10-30 16:46:43.115066+00
63,Pour quelle raison Garp ne veut pas être amiral ?,Parce qu'il pense qu'il n'est pas assez fort,Parce qu'il y a trop de responsabilités,Parce qu'il refuse d'être plus haut gradé que Sengoku,Parce qu'il ne veut pas être sous les ordres des dragons célestes,Parce qu'il à commis un acte impardonnable pour un marine,Parce qu'il est trop violent,4,One Piece,hard,2025-10-30 16:46:43.115066+00
64,Qui est le fils ainé de Big mom ?,Katakuri,Daifuku,Perospero,Cracker,Oven,Opera,3,One Piece,veryhard,2025-10-30 16:46:43.115066+00
65,De quelle couleur sont les cheveux de Niji ?,Vert,Bleu,Rouge,Noir,Jaune,Violet,2,One Piece,easy,2025-10-30 16:46:43.115066+00
66,Qui donne l'ordre à Zunesha d'attaquer l'équipage de Jack ?,Luffy,Momonosuke,Chopper,Nekomamushi,Inuarashi,Wanda,2,One Piece,hard,2025-10-30 16:46:43.115066+00
67,Quel autre membre actuel de la pire génération était sur l'île où Corazon est mort ?,X Drake,Jewelry Bonney,Urouge,Capone Bege,Basil Hawkins,Scratchmen Apoo,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
68,Pourquoi Jack s'est-il rendu à Zou ?,Pour détruire l'île,Pour trouver Raizo,Pour tuer Nekomamushi et Inuarashi,Pour voler le Road Poneglyph,Pour retrouver Kaido,Pour enlever Momonosuke,2,One Piece,medium,2025-10-30 16:46:43.115066+00
69,De quelle race est Bepo ?,Wotan,Mink,Balaffre,Tontatta,Okama,Kumate,2,One Piece,medium,2025-10-30 16:46:43.115066+00
70,Quelle apparence prend la sorcière Higurashi afin de destabiliser Oden contre Kaido ?,Momonosuke,Hiyori,Toki,Kinemon,Sukiyaki,Hyogoro,1,One Piece,hard,2025-10-30 16:46:43.115066+00
71,Pendant combien d'années Oden a t-il dansé nu pour remplir sa promesse ?,1 an,2 ans,3 ans,4 ans,5 ans,6 ans,5,One Piece,veryhard,2025-10-30 16:46:43.115066+00
72,"Sur Skypiea, qui est le prélat des Ballons ?",Wiper,Satori,Conis,Gedatsu,Omm,Gan Fall,2,One Piece,veryhard,2025-10-30 16:46:43.115066+00
73,"A Saboady, qui a été le premier mugiwara à disparaître a cause du pouvoir de Kuma ?",Zoro,Usopp,Luffy,Nami,Robin,Brook,1,One Piece,hard,2025-10-30 16:46:43.115066+00
74,Comment s'appelle la poudre qui permet de faire tomber la pluie à Alabasta ?,Rain Powder,Dance Powder,Marten Powder,Cloud Powder,Dust Powder,Blow Powder,2,One Piece,extreme,2025-10-30 16:46:43.115066+00
75,Comment s'appelle la femme de Kinemon ?,O tama,O kiku,O tsuru,O kana,O najimi,O soru,3,One Piece,medium,2025-10-30 16:46:43.115066+00
76,Quelle est l'espèce qui se vend le mieux au marché d'esclave de Saboady ?,Les nains,Les sirènes,Les dragons,Les géants,Les harpies,Les lunarias,2,One Piece,easy,2025-10-30 16:46:43.115066+00
77,Qui parmi ces personnes ne peut pas utiliser le Haki des Rois ?,Yamato,King,Don Chinjao,Sengoku,Eustass Kid,Boa Hancock,2,One Piece,easy,2025-10-30 16:46:43.115066+00
78,"Parmi les 20 rois fondateurs du gouvernement mondial, lequel à refusé de rester à Marie joie ?",Le roi d'Alabasta,Le roi de Goa,Le roi de Drum,Le roi de Dressrosa,Le roi de Germa,Le roi de Torino,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
79,Quel est le nom de l'opération menée par les Tontattas pour faire tomber Doflamingo à Dressrosa ?,S.O.P,G.O.D,T.T.A,T.A.S,V.H.T,H.O.S,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
80,Quelles sont les 3 armes antiques ?,Poséidon Pluton et Jupiter,Vénus Pluton et Poséidon,Pluton Poséidon et Uranus,Vénus Saturne et Jupiter,Pluton Jupiter et Vénus,Jupiter Poséidon et Vénus,3,One Piece,hard,2025-10-30 16:46:43.115066+00
81,Lequel de ces membres de Baroque Works les mugiwaras affrontent sur Little Garden?,Mr 1,Mr 2,Mr 3,Mr 5,Mr 7,Mr 0,3,One Piece,medium,2025-10-30 16:46:43.115066+00
82,Qui est la 6e personne à avoir rejoint l'équipage de Luffy ?,Chopper,Robin,Franky,Sanji,Brook,Usopp,2,One Piece,easy,2025-10-30 16:46:43.115066+00
83,De quel bloc de combattant luffy ressort-il vainqueur au Colosseum de Dressrosa ?,Bloc A,Bloc B,Bloc C,Bloc D,Bloc E,Bloc F,3,One Piece,extreme,2025-10-30 16:46:43.115066+00
84,De quel équipage faisait partie Brook avant de rejoindre les Mugiwaras ?,Soul Pirates,Rumbar Pirates,Whale Pirates,Funk Pirates,Flouz Pirates,Sea Jester Crew,2,One Piece,hard,2025-10-30 16:46:43.115066+00
85,Pendant combien d'années Brook a erré seul sur son bateau après la mort de son équipage ?,50 ans,60 ans,10 ans,100 ans,20 ans,30 ans,1,One Piece,veryhard,2025-10-30 16:46:43.115066+00
86,Pourquoi Cavendish déteste les Supernovas ?,Ils ont tous une prime plus élevée que la sienne,Ils ont ruiné sa réputation,Il est jaloux de ne pas faire parti des Supernovas,Ils ont détruit son royaume,Ils l'ont trahi par le passé,Ils détestent les pirates en général,2,One Piece,hard,2025-10-30 16:46:43.115066+00
87,Qui a tué Monet ?,Zoro,Caesar,Law,Smoker,Tashigi,Doflamingo,2,One Piece,hard,2025-10-30 16:46:43.115066+00
88,Pourquoi Arlong à tué Belmer ?,Elle a tenté de libérer Nami de la base d'Arlong,Elle à insulté Arlong de lâche,Elle n'a pas pu payer la taxe du village,Elle était au courant des affaires entre la Marine et Arlong,Elle à tué un des hommes d'Arlong,Elle s'est interposé pour protéger Nojiko,3,One Piece,medium,2025-10-30 16:46:43.115066+00
89,En quoi se déguisent les mugiwaras dès leur arrivée à Dressrosa ?,En vieillards,En officiers de la marine,En filles,En hommes d'affaires,En nobles,En gladiateurs,1,One Piece,hard,2025-10-30 16:46:43.115066+00
90,Quelle condition Law impose à Joker pour qu'il lui livre Caesar ?,Il doit renoncer à son titre de corsaire,Il doit abandonner son statut de roi de Dressrosa,Il doit libérer tous les jouets de la ville,Il doit lui dire où se trouve Kanjuro,Il doit dissoudre son équipage,Il doit lui fournir des informations sur Kaido,1,One Piece,hard,2025-10-30 16:46:43.115066+00
91,Pour quelle raison le fruit de Law est considéré comme le fruit Ultime ?,Il peut donner la vie éternelle,Il peut réssuciter une personne,Il peut être transmis à quelqu'un d'autre,Il empêche a son utilisateur de se noyer,Il permet à son utilisateur d'en manger un autre,Il permet à son utilisateur de se séparer de son fruit,1,One Piece,hard,2025-10-30 16:46:43.115066+00
92,Quel numéro porte Nobunaga au sein de la Brigate Fantôme ?,1,3,5,7,9,11,1,Hunter Hunter,hard,2025-10-30 16:46:43.115066+00
93,Quel est le type de nen de Gon ?,Spécification,Manipulation,Emission,Transformation,Matérialisation,Renforcement,6,Hunter Hunter,easy,2025-10-30 16:46:43.115066+00
94,Quel est le type de nen de Killua ?,Spécification,Manipulation,Emission,Transformation,Matérialisation,Renforcement,4,Hunter Hunter,easy,2025-10-30 16:46:43.115066+00
95,Quel est le type de nen de Hisoka ?,Spécification,Manipulation,Emission,Transformation,Matérialisation,Renforcement,4,Hunter Hunter,medium,2025-10-30 16:46:43.115066+00
96,Quel est le type de nen de Leorio ?,Spécification,Manipulation,Emission,Transformation,Matérialisation,Renforcement,3,Hunter Hunter,hard,2025-10-30 16:46:43.115066+00
97,Quel est le type de nen de base de Kurapika ?,Spécification,Manipulation,Emission,Transformation,Matérialisation,Renforcement,5,Hunter Hunter,medium,2025-10-30 16:46:43.115066+00
98,Quel est l'activité principale dont est spécialisée la famille Zoldyck ?,Le vol,La production d'armes,Le baseball,La pêche,L'assassinat,la cuisine,5,Hunter Hunter,veryeasy,2025-10-30 16:46:43.115066+00
99,Avec quel arme se bat Pokkle ?,Batte,Hache,Fusil,Dagues,Épée,Arc,6,Hunter Hunter,medium,2025-10-30 16:46:43.115066+00
100,Comment est appelée la capacité spéciale de Nen de Kuroro Lucilfer ?,Ability Seaker,Phantom Thief,Soul Destroyer,Stolen Gift,Nen Absorber,Skill Hunter,6,Hunter Hunter,hard,2025-10-30 16:46:43.115066+00
101,Quel numéro porte Killua lors de l'épreuve de chasse de l'examen des Hunters ?,44,405,199,404,100,99,6,Hunter Hunter,hard,2025-10-30 16:46:43.115066+00
102,Quel numéro porte Gon lors de l'épreuve de chasse de l'examen des Hunters ?,100,101,44,99,404,405,6,Hunter Hunter,hard,2025-10-30 16:46:43.115066+00
103,Dans quel domaine Komugi est t-elle championne du monde ?,Gungi,Shogi,Go,Majong,Dama,Jiangxi,1,Hunter Hunter,medium,2025-10-30 16:46:43.115066+00
104,De quelle guilde provient initialement Gajeel Redfox ?,Phantom Lord,Shadow Fang,Dragon Claw,Oblivion Heart,Dark Phoenix,Moonlit Howl,1,Fairy Tail,easy,2025-10-30 16:46:43.115066+00
105,Sur quelle partie du corps de Natsu se trouve sa marque de guilde ?,Épaule droite,Main gauche,Pectoral gauche,Dos,Mollet droit,Avant-bras gauche,1,Fairy Tail,veryeasy,2025-10-30 16:46:43.115066+00
106,"Parmi ces faits, lequel caractérise le mieux Cana Alberona ?",Elle adore boire de l'alcool,Elle a une peur panique des chiens,Elle ne sait pas nager,Elle collectionne des cartes rares,Elle a un talent pour la cuisine,Elle est somnambule,1,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
107,A quelle guilde appartient Hibiki ?,Handsome Calamity,Blue Pegasus,Sabertooth,Lamia Scale,Hound Holy,Raven Tail,2,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
108,Quel est le surnom de Erza Scarlet ?,Titania,Fairy Hills,Magnolia Oger,Hime,Fiore Queen,Lioness,1,Fairy Tail,easy,2025-10-30 16:46:43.115066+00
109,Quel est l'attribut de magie de Wendy ?,Magie du ciel,Magie du tonnerre,Magie de la pluie,Magie des astres,Magie de la terre,Magie de l'amour,1,Fairy Tail,easy,2025-10-30 16:46:43.115066+00
110,Quelle est la particularité de Grey Fullbuster ?,Il se déshabille sans cesse,Il ne supporte pas les femmes,Il ne mange jamais,Il à peur des chats,Il est sourd,Il maîtrise les 5 éléments,1,Fairy Tail,veryeasy,2025-10-30 16:46:43.115066+00
111,Pour quelle raison Laxus Dreyar prend d'assaut Fairy Tail ?,Pour devenir le maître et renforcer la guilde,Pour se venger de son grand père qui l'a abandonné,Pour tester ses nouveaux pouvoirs,Parce qu'il était manipulé par une autre guilde,Par jalousie envers Erza,C'est une demande du maître de la guilde lui-même,1,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
112,À quelle génération de Dragon Slayer appartiennent Sting et Rogue ?,1ere génération,2eme génération,3eme génération,4eme génération,5eme génération,6eme génération,3,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
113,"Lors de l'examen de Rang S, qui est le partenaire de Natsu ?",Grey,Gajeel,Happy,Lucy,Erza,Lisanna,3,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
114,"Lors de l'examen de Rang S, quel duo fait face à Erza Scarlet ?",Lisanna et Juvia,Loki et Grey,Natsu et Happy,Gajeel et Levy,Elfman et Evergreen,Cana et Lucy,1,Fairy Tail,veryhard,2025-10-30 16:46:43.115066+00
115,Comment est appelé le monde parallèle d'Earthland ?,Edolas,Xerath,Tartaros,Kardia,Stellar,Fiore,1,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
116,Qui ne fait pas partie de la Team Fairy Tail A lors des Grands Jeux Magiques ?,Elfman,Lucy,Grey,Erza,Natsu,Gajeel,6,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
117,Comment est surnommé Natsu Dragneel ?,Salamander,Cross Fire,Dragon Bastard,Fire Monster,Deathcharge,Dragonsoul,1,Fairy Tail,easy,2025-10-30 16:46:43.115066+00
118,Quel personnage a été élevé par Skiadrum ?,Rogue,Sting,Wendy,Gajeel,Cobra,Acnologia,1,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
119,Quelle est la particularité des Dragon Slayer de 2ème génération ?,Ils ont un Lacryma implanté en eux,Ils maîtrisent 2 éléments,Ils ont été elevé par un Dragon,Ils ont tous les cheveux rouges,Leur espérance de vie est courte,Ils sont issus d'une expérience chimique,1,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
120,Quelle est la magie de Ultear ?,Magie du temps,Magie de l'espace,Magie de scellement,Magie de guérison,Magie des ténèbres,Magie de glace,1,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
121,Qui parmi ces personnages ne fait pas partie d'Oracion Seis ?,Brain,Midnight,Cobra,Sorano,Richard,Ichiya,6,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
122,"Lors des grands Jeux Magiques, qui fait face à Jellal ?",Jura,Erza,Natsu,Laxus,Sting,Minerva,1,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
123,Quelle guilde a terminé à la 1ère place des préliminaires des Grands Jeux Magiques ?,Sabertooth,Fairy Tail,Raven Tail,Blue Pegasus,Lamia Scale,Twilight Ogre,1,Fairy Tail,veryhard,2025-10-30 16:46:43.115066+00
124,Quel personnage complète à lui seul l'épreuve du Pandémonium des Grands jeux magiques ?,Erza Scarlet,Laxus Dreyar,String Eucliffe,Natsu Dragneel,Jellal Fernandez,Rogue Cheney,1,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
125,Combien de clefs d'or du zodiaques possède Yukino ?,1,2,3,4,5,6,2,Fairy Tail,veryhard,2025-10-30 16:46:43.115066+00
126,Combien de temps dans le monde réel correspond à 1 jour dans le monde des esprits ?,1 heure,3 mois,6 mois,1 an,1 semaine,1 seconde,2,Fairy Tail,extreme,2025-10-30 16:46:43.115066+00
127,Combien de temps Ultear à t-elle pu remonter grâce à sa magie Last Age ?,1 minute,10 secondes,1 heure,10 minutes,3 minutes,3 secondes,1,Fairy Tail,veryhard,2025-10-30 16:46:43.115066+00
128,Sur quelle partie du corps Lisanna possède sa marque de guilde ?,Le bras,Le dos,La cuisse,Le pied,Le ventre,L'épaule,3,Fairy Tail,hard,2025-10-30 16:46:43.115066+00
129,Qui devient le maître temporaire de la guilde Fairy Tail pendant la disparition des membres durant 7 ans ?,Macao,Wakaba,Mest,Romeo,Loki,Gildartz,1,Fairy Tail,medium,2025-10-30 16:46:43.115066+00
130,De quel gang Renoma Sasaki est-il le chef ?,Red Phoenix Clan,Double Dragon Cross,Crimson Fang Brotherhood,Iron Wolf Gang,Black Thunder Syndicate,Shadow Blade Legion,2,Prisonnier Riku,veryhard,2025-10-30 16:46:43.115066+00
131,Comment est surnommé Ichiro Tanaka ?,Le roi de l'évasion,Le maître des déguisements,L'illusionniste,Le prince des prisonniers,La terreur des geoliers,Le prisonnier légendaire,1,Prisonnier Riku,hard,2025-10-30 16:46:43.115066+00
132,"Parmi ces étapes, laquelle ne figure pas dans le plan des protagonistes pour s'évader de l'île du paradis ?",Voler des costumes de gardiens,Fabriquer un deltaplane,Voler un hélicoptère,Fabriquer des fausses têtes,Accéder à la salle de contrôle de la prison,Enlever les bracelets électoniques,5,Prisonnier Riku,veryhard,2025-10-30 16:46:43.115066+00
